title,doi,source_csv
Energy digital twins in smart manufacturing systems: A case study,10.1016/j.rcim.2024.102729,Elicit - What are the key research gaps in using agent communication protocols to model human expertise for digital twins in the energy sec.csv
Digital twin in energy industry: Proposed robust digital twin for power plant and other complex capital-intensive large engineering systems,10.1016/j.egyr.2022.02.305,Elicit - What are the key research gaps in using agent communication protocols to model human expertise for digital twins in the energy sec.csv
Towards Fusing Data and Expert Knowledge for Better-Informed Digital Twins: An Initial Framework,10.1016/j.procs.2024.06.072,Elicit - What are the key research gaps in using agent communication protocols to model human expertise for digital twins in the energy sec.csv
Digital Twins’ Applications for Building Energy Efficiency: A Review,10.3390/en15197002,Elicit - What are the key research gaps in using agent communication protocols to model human expertise for digital twins in the energy sec.csv
Digital Twin Framework for Energy Efficient Greenhouse Industry 4.0,10.1007/978-3-030-58356-9_34,Elicit - What are the key research gaps in using agent communication protocols to model human expertise for digital twins in the energy sec.csv
Digital twin in battery energy storage systems: Trends and gaps detection through association rule mining,10.1016/j.energy.2023.127086,Elicit - What are the key research gaps in using agent communication protocols to model human expertise for digital twins in the energy sec.csv
Agent-Based Modelling of Urban District Energy System Decarbonisation – A Systematic Literature Review,10.20944/preprints202112.0121.v1,Elicit - What are the key research gaps in using agent communication protocols to model human expertise for digital twins in the energy sec.csv
Literature Research on the Use and Requirements of Datagram Communication and Protocols in AAS and Digital Twins,10.1109/ICECET58911.2023.10389431,Elicit - Find research gaps related to _agent communication protocols_ for _expertise modeling digital twin_..csv
The Role of Multi-Agents in Digital Twin Implementation: Short Survey,10.1145/3697350,Elicit - Find research gaps related to _agent communication protocols_ for _expertise modeling digital twin_..csv
Characterising the Digital Twin: A systematic literature review,10.1016/j.cirpj.2020.02.002,Elicit - Find research gaps related to _agent communication protocols_ for _expertise modeling digital twin_..csv
An Agent-Directed Digital Twin Framework for Simulation-Based Training,10.1109/ITMS56974.2022.9937103,Elicit - Find research gaps related to _agent communication protocols_ for _expertise modeling digital twin_..csv
Smart Energy Network Digital Twins: Findings from a UK-Based Demonstrator Project,10.48550/arXiv.2311.11997,Elicit - Identify papers discussing _limitations of human digital twin_ in _distributed energy resources_..csv
Human-Focused Digital Twin Applications for Occupational Safety and Health in Workplaces: A Brief Survey and Research Directions,10.3390/app13074598,Elicit - Identify papers discussing _limitations of human digital twin_ in _distributed energy resources_..csv
Digital Twin of a Single-Phase Home Converter System Integrating Distributed Energy Resources,10.1109/ETFG55873.2023.10408449,Elicit - Identify papers discussing _limitations of human digital twin_ in _distributed energy resources_..csv
Microgrid Digital Twin Application for Future Virtual Power Plants,10.1109/IECON51785.2023.10311709,Elicit - Identify papers discussing _limitations of human digital twin_ in _distributed energy resources_..csv
Empirical Insights into the Challenges of Implementing Digital Twins,10.1007/978-981-19-3455-1_18,Elicit - What are the main theoretical challenges and limitations in creating and implementing human digital twins for complex operational .csv
Digital Twin in complex operations environments: potential applications and research challenges,10.1109/ACIE58528.2023.00022,Elicit - What are the main theoretical challenges and limitations in creating and implementing human digital twins for complex operational .csv
Challenges of learning human digital twin: case study of mental wellbeing: Using sensor data and machine learning to create HDT,10.1145/3594806.3596538,Elicit - What are the main theoretical challenges and limitations in creating and implementing human digital twins for complex operational .csv
Challenges in Developing Digital Twins for Labor-intensive Manufacturing Systems: A Step towards Human-centricity,10.1016/j.procs.2024.06.073,Elicit - What are the main theoretical challenges and limitations in creating and implementing human digital twins for complex operational .csv
Towards Human Digital Twins to enhance workers' safety and production system resilience,10.1016/j.ifacol.2023.10.809,Elicit - What are the main theoretical challenges and limitations in creating and implementing human digital twins for complex operational .csv
Digital Twins About Humans - Design Objectives From Three Projects,10.1115/1.4054270,Elicit - What are the main theoretical challenges and limitations in creating and implementing human digital twins for complex operational .csv
Design and Use of Human Operator Digital Twins in Industrial Cyber-Physical Systems: Ethical Implications,10.1016/j.ifacol.2022.04.220,Elicit - What are the main theoretical challenges and limitations in creating and implementing human digital twins for complex operational .csv
Digital Twin models in industrial operations: State‐of‐the‐art and future research directions,10.1049/CIM2.12010,Elicit - Papers discussing limitations of current digital twin technologies for predictive maintenance and operational support in DERs..csv
State-of-the-Art Review: The Use of Digital Twins to Support Artificial Intelligence-Guided Predictive Maintenance,10.48550/arXiv.2406.13117,Elicit - Papers discussing limitations of current digital twin technologies for predictive maintenance and operational support in DERs..csv
Cognitive digital twin: An approach to improve the maintenance management,10.1016/j.cirpj.2022.06.004,Elicit - Papers discussing limitations of current digital twin technologies for predictive maintenance and operational support in DERs..csv
Towards a Distributed Digital Twin Framework for Predictive Maintenance in Industrial Internet of Things (IIoT),10.3390/s24082663,Elicit - Papers discussing limitations of current digital twin technologies for predictive maintenance and operational support in DERs..csv
State-of-the-Art Review and Synthesis: A Requirement-based Roadmap for Standardized Predictive Maintenance Automation Using Digital Twin Technologies,10.1016/j.aei.2024.102800,Elicit - Papers discussing limitations of current digital twin technologies for predictive maintenance and operational support in DERs..csv
Digital Twin Models in Industrial Operations: A Systematic Literature Review,10.1016/j.promfg.2020.02.084,Elicit - Papers discussing limitations of current digital twin technologies for predictive maintenance and operational support in DERs..csv
Multi-Agent Systems in Support of Digital Twins: A Survey,10.1007/978-3-031-06527-9_52,Elicit - Challenges and limitations of current multi-agent system architectures for supporting adaptive learning in digital twins within op.csv
Supporting Adaptive Multi-Agent Systems with Digital Twins Environments,10.1007/978-3-031-43264-4_30,Elicit - Challenges and limitations of current multi-agent system architectures for supporting adaptive learning in digital twins within op.csv
Analysing the synergies between Multi-agent Systems and Digital Twins: A systematic literature review,10.1016/j.infsof.2024.107503,Elicit - Challenges and limitations of current multi-agent system architectures for supporting adaptive learning in digital twins within op.csv
An Architecture to Integrate Digital Twins and Machine Learning Operations,10.1007/978-3-031-53445-4_1,Elicit - Challenges and limitations of current multi-agent system architectures for supporting adaptive learning in digital twins within op.csv
Towards Developing Digital Twin Enabled Multi-Agent Systems,10.1007/978-3-031-48539-8_12,Elicit - Challenges and limitations of current multi-agent system architectures for supporting adaptive learning in digital twins within op.csv
Improving Human-Machine Interaction with a Digital Twin,10.1007/978-3-030-44783-0_49,Elicit - Find papers on _adaptive agent protocols_ and their limitations for _human-in-the-loop_ _digital twin_ systems..csv
